time,accX,accY,accZ,rotX,rotY,rotZ,temp1,temp2,press
157149.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157159.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157169.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157179.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157189.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157199.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157209.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157219.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157229.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157239.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157249.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157259.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157269.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157279.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157289.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157299.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157309.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157319.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157329.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157339.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157349.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157359.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157369.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157379.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157389.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157399.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157409.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157419.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
